courseLink,courseName,courseSubject,coursePrice,courseProvider,Purchase,Enquiry,courseAwardingBody
https://www.reed.co.uk/courses/freelance-writing-how-to-succeed-as-a-top-copywriter/253703#/courses/writing?pageno=15,Freelance Writing: How To Succeed As A Top Copywriter,Personal development_Career development,157,Skill Success,1,0,None
https://www.reed.co.uk/courses/how-to-write-a-movie-script--film-scriptwriting/261753#/courses/writing?pageno=16,How To Write A Movie Script : Film Scriptwriting,Performing arts_Filmmaking,10,Simpliv LLC,1,0,None
https://www.reed.co.uk/courses/influential-business-report-and-persuasive-proposal-writing/231044#/courses/writing?pageno=13,Influential business report and persuasive proposal writing,Business_Business management_Report Writing,42,BPP Professional Education,1,0,CPD
https://www.reed.co.uk/courses/certificate-in-introduction-to-screenwriting-online-course/190710#/courses/writing?pageno=18, Certificate in Introduction to Screenwriting Online Course,English_Creative writing,299,Courses for Success,0,0,None
https://www.reed.co.uk/courses/copywriting-for-beginners-part-one-of-three-seven-vital-questions/262216#/courses/writing?pageno=3, Copywriting For Beginners Part One Of Three: Seven Vital Questions,English_Writing,157,Skill Success,0,0,None
https://www.reed.co.uk/courses/30-copywriting-secrets-from-the-best-ad-campaign-of-all-time/260606#/courses/writing?pageno=22,30 Copywriting Secrets from the Best Ad Campaign of All Time,Marketing_Advertising,10,Simpliv LLC,0,0,None
https://www.reed.co.uk/courses/best-paying-copywriting-gigs-white-paper-writing/262157#/courses/writing?pageno=15,Best-Paying Copywriting Gigs: White Paper Writing ,English_Copywriting,157,Skill Success,0,0,None
https://www.reed.co.uk/courses/bid-tender-and-sales-proposal-writing/99552#/courses/writing?pageno=13,"Bid, tender and sales-proposal writing",Sales,594,Emphasis,0,13,None
https://www.reed.co.uk/courses/blogging-writing-a-blog-that-works-hard-for-your-organisation/218207#/courses/writing?pageno=16,Blogging: writing a blog that works hard for your organisation,Business_Business development,562,Centre for Strategy and Communication Ltd,0,9,None
https://www.reed.co.uk/courses/business-writing/187777#/courses/writing?pageno=6,Business writing   ,Business_Business development,99,Training Works,0,1,None
https://www.reed.co.uk/courses/business-writing-course-level-4-diploma/31688#/courses/writing?pageno=8,Business writing course (Level 4 Diploma),"Admin, secretarial &amp; PA_Administration",296.7,College of Media and Publishing,0,17,"Professional, CPD"
https://www.reed.co.uk/courses/business-writing-skills-cpd-accredited/218185#/courses/writing?pageno=10,Business writing skills (CPD accredited),Business_Business administration,1070,Centre for Strategy and Communication Ltd,0,9,CPD
https://www.reed.co.uk/courses/business-writing-skills-for-esl-english-as-a-second-language-two-day-programme/267015#/courses/writing?pageno=2,Business writing skills for ESL (English as a second language) Two-day programme,Business,892,Centre for Strategy and Communication Ltd,0,0,None
https://www.reed.co.uk/courses/cv-writing-and-interview-skills/218216#/courses/writing?pageno=14,CV writing and interview skills,Job search skills_Career development,562,Centre for Strategy and Communication Ltd,0,5,None
https://www.reed.co.uk/courses/copywriting-blunders-do-you-make-these-10-common-mistakes/260103#/courses/writing?pageno=26,Copywriting Blunders: Do You Make these 10 Common Mistakes?,Marketing_Content marketing,10,Simpliv LLC,0,0,None
https://www.reed.co.uk/courses/copywriting-blunders-the-ten-most-common-mistakes/262156#/courses/writing?pageno=31,Copywriting Blunders: The Ten Most Common Mistakes,Personal development_Career development,157,Skill Success,0,0,None
https://www.reed.co.uk/courses/copywriting-for-beginners-part-three-of-three-how-to-persuade/262313#/courses/writing?pageno=29,Copywriting For Beginners Part Three Of Three: How To Persuade,Personal development_Career development,157,Skill Success,0,0,None
https://www.reed.co.uk/courses/copywriting-for-beginners-part-two-of-three-headlines-and-openers/262243#/courses/writing?pageno=2,Copywriting For Beginners Part Two of Three: Headlines And Openers,English_Writing,157,Skill Success,0,0,None
https://www.reed.co.uk/courses/copywriting-masterclass/233506#/courses/writing?pageno=33,Copywriting Masterclass,Marketing,718.8,The IDM,0,1,CPD
https://www.reed.co.uk/courses/copywriting-tutorials/225805#/courses/writing?pageno=22,Copywriting Tutorials,Business,71,Ed-Next (Consult +),0,0,None
https://www.reed.co.uk/courses/copywriting-course-level-4-diploma/57653#/courses/writing,Copywriting course  (Level 4 Diploma) ,English_Writing,296.7,College of Media and Publishing,0,753,"Professional, CPD"
https://www.reed.co.uk/courses/copywriting-course-level-4-diploma/57653#/courses/writing?pageno=2,Copywriting course  (Level 4 Diploma) ,English_Writing,296.7,College of Media and Publishing,0,753,"Professional, CPD"
https://www.reed.co.uk/courses/copywriting-for-beginners-part-3-of-3-how-to-persuade/260098#/courses/writing?pageno=25,Copywriting for Beginners Part 3 of 3: How to Persuade,Marketing_Content marketing,10,Simpliv LLC,0,0,None
https://www.reed.co.uk/courses/copywriting-for-digital/233503#/courses/writing?pageno=33,Copywriting for Digital,Marketing,1350,The IDM,0,2,CPD
https://www.reed.co.uk/courses/copywriting-for-not-for-profit/233504#/courses/writing?pageno=27,Copywriting for Not-for-Profit,Marketing,718.8,The IDM,0,0,CPD
https://www.reed.co.uk/courses/copywriting-for-social-media-and-blogs/233505#/courses/writing?pageno=33,Copywriting for Social Media and Blogs,Marketing,718.8,The IDM,0,2,CPD
https://www.reed.co.uk/courses/copywriting-for-web-and-email/233516#/courses/writing?pageno=33,Copywriting for Web and Email,Marketing,718.8,The IDM,0,0,CPD
https://www.reed.co.uk/courses/copywriting--in-company-training/266413#/courses/writing?pageno=105,Copywriting – In-company training,English_Copywriting,1524,Content ETC,0,0,None
https://www.reed.co.uk/courses/copywriting-branding-tone-of-voice/237118#/courses/writing?pageno=3,"Copywriting, Branding &amp; Tone of Voice",Marketing_Branding,598.8,JELLYFISH,0,26,None
https://www.reed.co.uk/courses/copywriting-an-introduction/233507#/courses/writing?pageno=24,Copywriting: an Introduction,Marketing,718.8,The IDM,0,3,CPD
https://www.reed.co.uk/courses/creative-writing-course-level-4-diploma/57534#/courses/writing?pageno=8,Creative writing course (Level 4 Diploma),English_Creative writing,296.7,College of Media and Publishing,0,72,Professional
https://www.reed.co.uk/courses/digital-writing-writing-for-websites-enewsletters-blogs-and-other-social-media/218220#/courses/writing?pageno=12,"Digital writing: writing for websites, enewsletters, blogs and other social media",Marketing_Social media,562,Centre for Strategy and Communication Ltd,0,9,None
https://www.reed.co.uk/courses/emphasis-360-online-business-writing-training/196397#/courses/writing?pageno=13,Emphasis 360: online business-writing training,Business_QA,180,Emphasis,0,8,None
https://www.reed.co.uk/courses/english-writing-skills-course-level-3-diploma/71000#/courses/writing?pageno=11,English writing skills course (Level 3 Diploma),Office skills,494.5,College of Media and Publishing,0,56,Professional
https://www.reed.co.uk/courses/fast-sales-copywriting-for-the-absolute-beginner/190858#/courses/writing?pageno=56,Fast Sales Copywriting For The Absolute Beginner,Marketing_Advertising,29,Skill Success,0,0,None
https://www.reed.co.uk/courses/freelance-copywriter-in-a-week/262111#/courses/writing?pageno=86,Freelance Copywriter In A Week,Marketing_Digital marketing,157,Skill Success,0,0,None
https://www.reed.co.uk/courses/freelance-copywriter-in-a-week/262111#/courses/writing?pageno=86,Freelance Copywriter In A Week,Marketing_Digital marketing,157,Skill Success,0,0,None
https://www.reed.co.uk/courses/handling-written-complaints/218237#/courses/writing?pageno=40,Handling written complaints,Personal development_Communication,626,Centre for Strategy and Communication Ltd,0,6,None
https://www.reed.co.uk/courses/high-impact-business-writing/99121#/courses/writing?pageno=13,High-impact business writing,Business_Business administration,594,Emphasis,0,6,None
https://www.reed.co.uk/courses/how-to-write-a-premise-and-logline-screenwriting-course/260370#/courses/writing?pageno=9,How to Write a Premise and Logline - Screenwriting Course,Media studies_Creative writing,10,Simpliv LLC,0,0,None
https://www.reed.co.uk/courses/idm-advanced-certificate-in-digital-copywriting-cert-dc/233550#/courses/writing?pageno=26,IDM Advanced Certificate in Digital Copywriting (Cert DC),Marketing,1284,The IDM,0,28,CPD
https://www.reed.co.uk/courses/idm-award-in-digital-copywriting-award-dc/72680#/courses/writing?pageno=58,IDM Award in Digital Copywriting (Award DC),Marketing,1440,The IDM,0,52,"Professional, CPD"
https://www.reed.co.uk/courses/introduction-to-working-as-a-freelance-writer-and-ghostwriter/253737#/courses/writing?pageno=3,Introduction To Working As A Freelance Writer And Ghostwriter,Personal development_Career development,157,Skill Success,0,0,None
https://www.reed.co.uk/courses/introduction-to-working-as-a-freelance-writer-and-ghostwriter/253737#/courses/writing?pageno=3,Introduction To Working As A Freelance Writer And Ghostwriter,Personal development_Career development,157,Skill Success,0,0,None
https://www.reed.co.uk/courses/letter-and-report-writing-skills/187787#/courses/writing?pageno=13,Letter and report writing skills   ,Business_Business development,99,Training Works,0,0,None
https://www.reed.co.uk/courses/minutes-taking-and-writing-effective-minutes-cpd-accredited/218192#/courses/writing?pageno=16,Minutes: taking and writing effective minutes (CPD accredited),"Admin, secretarial &amp; PA_Minute taking",562,Centre for Strategy and Communication Ltd,0,20,CPD
