courseLink,courseName,courseSubject,coursePrice,courseProvider,Purchase,Enquiry
https://www.reed.co.uk/courses/microsoft-onenote-2016-training/237851#/courses/writing?pageno=128,Microsoft OneNote 2016 Training,IT,10,EduCBA,1,0
https://www.reed.co.uk/courses/content-marketing-create-content-that-generates-leads/260108#/courses/writing?pageno=122,Content Marketing: Create Content that Generates Leads,Marketing_Content marketing,10,Simpliv LLC,0,0
https://www.reed.co.uk/courses/ruby-programming-fundamentals-online-training/221704#/courses/writing?pageno=119,Ruby Programming Fundamentals Online Training,IT_Coding,59,Learning 247,0,0
https://www.reed.co.uk/courses/introduction-to-application-development-with-java/226717#/courses/writing?pageno=123,Introduction to Application Development with Java,IT_Big data,2376,Pairview Training,0,0
https://www.reed.co.uk/courses/this-is-your-boot-camp-for-setting-goals-that-you-can-achieve-simpliv/257341#/courses/writing?pageno=40,This Is Your Boot Camp For Setting Goals That You Can Achieve - Simpliv,Health and safety,40.92,Simpliv LLC,0,0
https://www.reed.co.uk/courses/accountancy-course/197937#/courses/writing?pageno=77,Accountancy Course,Accountancy,15,CPD Courses,55,0
https://www.reed.co.uk/courses/xero-accounting-and-bookkeeping-course/229553#/courses/writing?pageno=22,Xero Accounting and Bookkeeping Course,Accountancy_Bookkeeping,14,Janets,938,0
https://www.reed.co.uk/courses/become-an-entrepreneur-the-8-step-business-launch/81788#/courses/writing?pageno=149,Become an Entrepreneur: The 8 Step Business Launch!,Business,19,OfCourse,2,0
https://www.reed.co.uk/courses/linux-system-administration-with-python/236960#/courses/writing?pageno=171,Linux System Administration with Python,IT_Coding_Python,10,EduCBA,0,0
https://www.reed.co.uk/courses/freelance-writing-for-beginners/260375#/courses/writing,Freelance Writing For Beginners,English_Writing,10,Simpliv LLC,2,0
https://www.reed.co.uk/courses/certificate-in-designing-effective-websites-online-course/190398#/courses/writing?pageno=169,Certificate in Designing Effective Websites Online Course,IT,299,Courses for Success,0,0
https://www.reed.co.uk/courses/marketing-for-business/220925#/courses/writing?pageno=159,Marketing for Business,Marketing,24,Infinity Learning,1,0
https://www.reed.co.uk/courses/sharepoint05--tasks-and-programming-lists-training-course/258735#/courses/writing?pageno=121,SharePoint:05 – Tasks and Programming Lists Training Course,IT,99,EduCBA,0,0
https://www.reed.co.uk/courses/intellij-idea/250800#/courses/writing?pageno=118,IntelliJ IDEA,IT,99,EduCBA,0,0
https://www.reed.co.uk/courses/haskell-programming-online-training/255054#/courses/writing?pageno=139,Haskell Programming Online Training,IT,99,EduCBA,0,0
https://www.reed.co.uk/courses/legal-secretary-level-3-diploma/80117#/courses/writing?pageno=38,Legal Secretary - Level 3 Diploma,"Admin, secretarial &amp; PA",99,Global Edulink,51,0
https://www.reed.co.uk/courses/learning-spark-programming/240821#/courses/writing?pageno=64,Learning spark programming,IT,10,EduCBA,0,0
https://www.reed.co.uk/courses/leadership-skills/221424#/courses/writing?pageno=75,Leadership Skills,HR_Leadership,19,Infinity Learning,7,0
https://www.reed.co.uk/courses/python-program-101/240331#/courses/writing?pageno=79,Python Program 101,IT,99,EduCBA,0,0
https://www.reed.co.uk/courses/data-science-with-python-course/247105#/courses/writing?pageno=95,Data Science with Python Course,Business_Data analysis,12,EduCBA,0,0
